epoch 0 , loss = 0.6827535826087107 , time = 21.33374786376953
epoch 1 , loss = 0.4778762914948092 , time = 19.568955421447754
epoch 2 , loss = 0.42831450513987696 , time = 19.687978982925415
epoch 3 , loss = 0.4140939990648686 , time = 18.854640245437622
epoch 4 , loss = 0.40312734626835495 , time = 19.557485580444336
epoch 5 , loss = 0.3949471044069199 , time = 21.54133129119873
epoch 6 , loss = 0.3892967075304926 , time = 20.482974767684937
epoch 7 , loss = 0.38268907246020767 , time = 17.399381637573242
epoch 8 , loss = 0.3759565172361254 , time = 15.046780824661255
epoch 9 , loss = 0.3687650168455182 , time = 16.222886085510254
epoch 10 , loss = 0.36149050623079004 , time = 22.064982175827026
epoch 11 , loss = 0.3537115699545063 , time = 19.826161861419678
epoch 12 , loss = 0.34660835674478985 , time = 18.533940315246582
epoch 13 , loss = 0.33938877596210104 , time = 15.115395545959473
epoch 14 , loss = 0.3313867170675312 , time = 16.206433296203613
epoch 15 , loss = 0.32418190903202554 , time = 22.036756992340088
epoch 16 , loss = 0.3170077404554877 , time = 21.832942485809326
epoch 17 , loss = 0.3118710085701643 , time = 21.5218346118927
epoch 18 , loss = 0.3053855762304201 , time = 19.846698760986328
epoch 19 , loss = 0.2986981544497868 , time = 19.955841541290283
epoch 20 , loss = 0.29325821150632264 , time = 20.879833459854126
epoch 21 , loss = 0.28823395106951705 , time = 17.33981990814209
epoch 22 , loss = 0.2841631316591381 , time = 15.18764328956604
epoch 23 , loss = 0.2790104890830096 , time = 15.199000835418701
epoch 24 , loss = 0.2725224478611396 , time = 18.928874015808105
epoch 25 , loss = 0.2680744655200316 , time = 19.792502403259277
epoch 26 , loss = 0.26415920903862855 , time = 19.6602144241333
epoch 27 , loss = 0.26066624586851045 , time = 21.211939811706543
epoch 28 , loss = 0.2550682793473112 , time = 21.0342915058136
epoch 29 , loss = 0.2523773877630219 , time = 19.928457736968994
epoch 30 , loss = 0.24770008815653088 , time = 19.595316886901855
epoch 31 , loss = 0.24378809215151914 , time = 19.622315406799316
epoch 32 , loss = 0.24115168765844977 , time = 17.161237239837646
epoch 33 , loss = 0.24189010257762894 , time = 19.59017062187195
epoch 34 , loss = 0.23584261661054404 , time = 19.578278303146362
epoch 35 , loss = 0.22951851317222433 , time = 21.52858805656433
epoch 36 , loss = 0.22437513336699086 , time = 21.020451068878174
epoch 37 , loss = 0.22393244740412543 , time = 21.184693574905396
epoch 38 , loss = 0.22320152872938281 , time = 22.08515739440918
